term,cat,tipo,mascara,evidencia
"ordenes","ENTIDAD","NUM","DECIMAL(18,2)","2 ocurrencias"
"ordenpago","ENTIDAD","ALFA","CHAR(12)","2 ocurrencias"
"origen","ENTIDAD","ALFA","CHAR(3)","2377 ocurrencias"
"oro","ENTIDAD","NUM","INTEGER","289 ocurrencias"
"os","ENTIDAD","NUM","INTEGER","24351 ocurrencias"
"oxo","ENTIDAD","?","?","no_evidence"
"oxxo","ENTIDAD","ALFA","CHAR(9)","7 ocurrencias"
"pagare","ENTIDAD","NUM","SMALLINT","46 ocurrencias"
"pagares","ENTIDAD","NUM","SMALLINT","4 ocurrencias"
"pago","ENTIDAD","NUM","DECIMAL(18,2)","6909 ocurrencias"
"pagos","ENTIDAD","NUM","INTEGER","1099 ocurrencias"
"pais","ENTIDAD","ALFA","CHAR(3)","959 ocurrencias"
"param","ENTIDAD","NUM","INTEGER","1338 ocurrencias"
"parametrico","ENTIDAD","ALFA","CHAR(1)","41 ocurrencias"
"parametro","ENTIDAD","NUM","INTEGER","165 ocurrencias"
"parametros","ENTIDAD","ALFA","CHAR(8)","34 ocurrencias"
"parentesco","ENTIDAD","ALFA","CHAR(2)","264 ocurrencias"
"pasa","ACCION","—","—","accion"
"pase","ACCION","—","—","accion"
"pasecheq","ACCION","—","—","accion"
"pasecont","ACCION","—","—","accion"
"pba","MODIF","ALFA","CHAR(1)","42 ocurrencias"
"perfil","ENTIDAD","NUM","INTEGER","258 ocurrencias"
"periodicidad","MODIF","ALFA","CHAR(1)","118 ocurrencias"
"periodo","ENTIDAD","FECHA","DATE","1509 ocurrencias"
"pieza","ENTIDAD","NUM","INTEGER","173 ocurrencias"
"piezas","ENTIDAD","NUM","INTEGER","40 ocurrencias"
"pin","ENTIDAD","NUM","DECIMAL(18,2)","351 ocurrencias"
"plantilla","ENTIDAD","ALFA","CHAR(255)","233 ocurrencias"
"plaza","ENTIDAD","ALFA","CHAR(3)","774 ocurrencias"
"plazo","ENTIDAD","NUM","INTEGER","1005 ocurrencias"
"pld","REG","—","—","regulacion"
"politica","ENTIDAD","?","?","no_evidence"
"poliza","ENTIDAD","NUM","INTEGER","372 ocurrencias"
"por","MODIF","NUM","DECIMAL(18,2)","8592 ocurrencias"
"portab","ENTIDAD","ALFA","CHAR(2)","61 ocurrencias"
"portabilidad","ENTIDAD","ALFA","CHAR(2)","53 ocurrencias"
"portanom","ENTIDAD","?","?","no_evidence"
"pos","ENTIDAD","ALFA","CHAR(5)","3456 ocurrencias"
"pp","ENTIDAD","ALFA","CHAR(20)","3169 ocurrencias"
"presenta","ACCION","—","—","accion"
"presentacion","ENTIDAD","ALFA","CHAR(8)","211 ocurrencias"
"presentado","MODIF","ALFA","CHAR(1)","102 ocurrencias"
"prestamo","ENTIDAD","NUM","INTEGER","341 ocurrencias"
"prestamos","ENTIDAD","NUM","INTEGER","184 ocurrencias"
"preventivo","MODIF","?","?","no_evidence"
"primer","MODIF","FECHA","DATE","662 ocurrencias"
"principal","ENTIDAD","ALFA","CHAR(8)","116 ocurrencias"
"proac","ENTIDAD","NUM","DECIMAL(18,2)","64 ocurrencias"
"proc","ENTIDAD","ALFA","CHAR(1)","4925 ocurrencias"
"procede","ACCION","—","—","accion"
"procesa","ACCION","—","—","accion"
"proceso","ENTIDAD","ALFA","CHAR(1)","2960 ocurrencias"
"prod","ENTIDAD","ALFA","CHAR(4)","7024 ocurrencias"
"producto","ENTIDAD","ALFA","CHAR(4)","5020 ocurrencias"
"productos","ENTIDAD","ALFA","CHAR(100)","72 ocurrencias"
"productotransaccion","ENTIDAD","?","?","no_evidence"
"promocion","ENTIDAD","NUM","SMALLINT","116 ocurrencias"
"propuesta","ENTIDAD","FECHA","DATE","1 ocurrencias"
"prospectos","ENTIDAD","NUM","INTEGER","8 ocurrencias"
"puntos","ENTIDAD","NUM","DECIMAL(9,2)","184 ocurrencias"
"quincena","ENTIDAD","FECHA","DATE","117 ocurrencias"
"rastreo","ENTIDAD","ALFA","CHAR(30)","266 ocurrencias"
"rcda","ENTIDAD","ALFA","CHAR(1)","11 ocurrencias"
"realiza","ACCION","—","—","accion"
"rec","ACCION","—","—","accion"
"reccancelacion","ACCION","—","—","accion"
"recdevolucion","ACCION","—","—","accion"
"receptor","ENTIDAD","ALFA","CHAR(40)","335 ocurrencias"
"recextemporanea","ACCION","—","—","accion"
"recompensa","ENTIDAD","NUM","INTEGER","62 ocurrencias"
"recordenpago","ACCION","—","—","accion"
"recupera","ACCION","—","—","accion"
"recuperacion","ACCION","—","—","accion"
"reestructura","ACCION","—","—","accion"
"reevaluacion","ACCION","—","—","accion"
"ref","AMBIGUO","ALFA","CHAR(40)","6035 ocurrencias"
"referencia","ENTIDAD","ALFA","CHAR(40)","2977 ocurrencias"
"reg","ACCION","—","—","accion"
"regex","ENTIDAD","NUM","INTEGER","6 ocurrencias"
"region","ENTIDAD","ALFA","CHAR(3)","467 ocurrencias"
"registra","ACCION","—","—","accion"
"registro","ENTIDAD","NUM","INTEGER","8933 ocurrencias"
"registros","ENTIDAD","NUM","INTEGER","7252 ocurrencias"
"regordenctecte","ACCION","—","—","accion"
"reinicia","ACCION","—","—","accion"
"reinicio","ACCION","—","—","accion"
"rem","ENTIDAD","NUM","MONEY(14,2)","1397 ocurrencias"
"remanente","MODIF","NUM","MONEY(14,2)","149 ocurrencias"
"remesa","ENTIDAD","ALFA","CHAR(20)","274 ocurrencias"
"remesadora","ENTIDAD","NUM","SMALLINT","48 ocurrencias"
"remesas","ENTIDAD","NUM","MONEY(14,2)","33 ocurrencias"
"rep","ACCION","—","—","accion"
"repipab","ENTIDAD","?","?","no_evidence"
"reporte","ENTIDAD","ALFA","CHAR(100)","1089 ocurrencias"
"reportes","ENTIDAD","NUM","SMALLINT","10 ocurrencias"
"reproceso","ACCION","—","—","accion"
"reserva","ENTIDAD","NUM","DECIMAL(18,2)","245 ocurrencias"
"respalda","ACCION","—","—","accion"
"respaldo","ENTIDAD","ALFA","CHAR(50)","79 ocurrencias"
"respuesta","ENTIDAD","ALFA","CHAR(5)","905 ocurrencias"
"resultado","ENTIDAD","ALFA","CHAR(30)","2835 ocurrencias"
"retenido","MODIF","NUM","DECIMAL(18,2)","515 ocurrencias"
"retiro","ENTIDAD","ALFA","CHAR(2)","421 ocurrencias"
"retiros","ENTIDAD","ALFA","CHAR(2)","199 ocurrencias"
"rev","ACCION","—","—","accion"
"reversa","ACCION","—","—","accion"
"reversion","ACCION","—","—","accion"
"reverso","ACCION","—","—","accion"
"revision","ENTIDAD","NUM","INTEGER","125 ocurrencias"
"rfc","ENTIDAD","ALFA","CHAR(13)","3131 ocurrencias"
"ris","ENTIDAD","ALFA","CHAR(40)","39 ocurrencias"
"ro","ENTIDAD","NUM","INTEGER","43237 ocurrencias"
"rol","ENTIDAD","NUM","INTEGER","530 ocurrencias"
"rpt","ENTIDAD","ALFA","CHAR(150)","113 ocurrencias"
"rst","ENTIDAD","ALFA","CHAR(40)","333 ocurrencias"
"ruta","ENTIDAD","ALFA","CHAR(100)","2031 ocurrencias"
"sac","ENTIDAD","ALFA","CHAR(4)","6137 ocurrencias"
"saldo","ENTIDAD","NUM","DECIMAL(18,2)","4096 ocurrencias"
"saldos","ENTIDAD","NUM","MONEY(14,2)","333 ocurrencias"
"salida","ENTIDAD","ALFA","CHAR(100)","240 ocurrencias"
"sat","REG","—","—","regulacion"
"sbc","ENTIDAD","NUM","MONEY(14,2)","593 ocurrencias"
"scoring","ENTIDAD","NUM","SMALLINT","103 ocurrencias"
"sd","ENTIDAD","NUM","DECIMAL(18,2)","8201 ocurrencias"
"sdo","ENTIDAD","NUM","DECIMAL(18,2)","5833 ocurrencias"
"sdodisp","ENTIDAD","NUM","MONEY(14,2)","329 ocurrencias"
"sdos","ENTIDAD","NUM","MONEY(14,2)","198 ocurrencias"
"secuencia","ENTIDAD","NUM","INTEGER","3500 ocurrencias"
"seg","ENTIDAD","ALFA","CHAR(3)","1277 ocurrencias"
"servicio","ENTIDAD","ALFA","CHAR(1)","450 ocurrencias"
"sif","ENTIDAD","NUM","INTEGER","406 ocurrencias"
"sistema","ENTIDAD","ALFA","CHAR(2)","1037 ocurrencias"
"situacion","ENTIDAD","ALFA","CHAR(1)","766 ocurrencias"
"situaciones","ENTIDAD","ALFA","CHAR(1)","184 ocurrencias"
"sms","ENTIDAD","ALFA","CHAR(1)","403 ocurrencias"
"soc","ENTIDAD","ALFA","CHAR(60)","971 ocurrencias"
"soe","ENTIDAD","NUM","INTEGER","17 ocurrencias"
"sol","ENTIDAD","ALFA","CHAR(20)","6760 ocurrencias"
"solic","ENTIDAD","ALFA","CHAR(20)","3783 ocurrencias"
"solicitud","ENTIDAD","ALFA","CHAR(20)","3063 ocurrencias"
"solicitudes","ENTIDAD","NUM","INTEGER","139 ocurrencias"
"solin","ENTIDAD","NUM","MONEY(16,2)","18 ocurrencias"
"sorteo","ENTIDAD","ALFA","CHAR(5)","84 ocurrencias"
"sp","PREFIJO","NUM","INTEGER","16580 ocurrencias"
"spei","PREFIJO","NUM","INTEGER","411 ocurrencias"
"split","ACCION","—","—","accion"
"sps","PREFIJO","ALFA","CHAR(5)","110 ocurrencias"
"ss","ENTIDAD","ALFA","CHAR(2)","5930 ocurrencias"
"stat06","ENTIDAD","ALFA","CHAR(16)","5 ocurrencias"
"sub","MODIF","ALFA","CHAR(2)","2617 ocurrencias"
"subproducto","ENTIDAD","ALFA","CHAR(4)","46 ocurrencias"
"suc","MODIF","ALFA","CHAR(4)","13564 ocurrencias"
"sucursal","ENTIDAD","ALFA","CHAR(4)","9424 ocurrencias"
"supervision","ENTIDAD","ALFA","CHAR(1)","1 ocurrencias"
"susc","ENTIDAD","NUM","DECIMAL(14,2)","42 ocurrencias"
"suscriptores","ACCION","—","—","accion"
"sv","ENTIDAD","NUM","INTEGER","1635 ocurrencias"
"sw","ENTIDAD","ALFA","CHAR(8)","273 ocurrencias"
"synmotor","ENTIDAD","?","?","no_evidence"
"tar","ENTIDAD","ALFA","CHAR(20)","7094 ocurrencias"
"tarjeta","ENTIDAD","ALFA","CHAR(20)","4680 ocurrencias"
"tarjetas","ENTIDAD","NUM","INTEGER","108 ocurrencias"
"tasa","ENTIDAD","NUM","DECIMAL(9,6)","2462 ocurrencias"
"tbl","ENTIDAD","NUM","INTEGER","83 ocurrencias"
"tco","ENTIDAD","NUM","INTEGER","1144 ocurrencias"
"tdc","ENTIDAD","NUM","INTEGER","303 ocurrencias"
"tdd","ENTIDAD","NUM","INTEGER","5 ocurrencias"
"tef","ENTIDAD","NUM","INTEGER","602 ocurrencias"
"tel","ENTIDAD","ALFA","CHAR(13)","5540 ocurrencias"
"telefonico","MODIF","?","?","no_evidence"
"telefono","ENTIDAD","ALFA","CHAR(13)","2581 ocurrencias"
"telefonos","ENTIDAD","ALFA","CHAR(30)","98 ocurrencias"
"tels","ENTIDAD","NUM","INTEGER","59 ocurrencias"
"temp","MODIF","ALFA","CHAR(942)","823 ocurrencias"
"tienda","ENTIDAD","NUM","SMALLINT","252 ocurrencias"
"tiir","ENTIDAD","?","?","no_evidence"
"tipo","MODIF","ALFA","CHAR(1)","12046 ocurrencias"
"titular","ENTIDAD","ALFA","CHAR(1)","451 ocurrencias"
"titulo","ENTIDAD","ALFA","CHAR(255)","94 ocurrencias"
"token","ENTIDAD","ALFA","CHAR(9)","646 ocurrencias"
"total","MODIF","NUM","INTEGER","7842 ocurrencias"
"totales","MODIF","NUM","INTEGER","122 ocurrencias"
"tp","MODIF","ALFA","CHAR(1)","3214 ocurrencias"
"tpcalculo","ENTIDAD","?","?","no_evidence"
"trae","ACCION","—","—","accion"
"trans","ENTIDAD","ALFA","CHAR(4)","7990 ocurrencias"
"transacc","ENTIDAD","ALFA","CHAR(4)","4561 ocurrencias"
"transaccion","ENTIDAD","ALFA","CHAR(4)","2290 ocurrencias"
"transfer","ENTIDAD","ALFA","CHAR(30)","419 ocurrencias"
"transportadora","ENTIDAD","?","?","no_evidence"
"traspas","ACCION","—","—","accion"
"traspaso","ACCION","—","—","accion"
"ultimas","MODIF","NUM","INTEGER","1 ocurrencias"
"upd","ACCION","—","—","accion"
"upgrade","ACCION","—","—","accion"
"usuario","ENTIDAD","ALFA","CHAR(8)","11363 ocurrencias"
"usuarios","ENTIDAD","ALFA","CHAR(8)","161 ocurrencias"
"valida","ACCION","—","—","accion"
"validacion","ACCION","—","—","accion"
"valor","ENTIDAD","ALFA","CHAR(100)","2984 ocurrencias"
"venc","ENTIDAD","NUM","DECIMAL(18,2)","3843 ocurrencias"
"vencimiento","ENTIDAD","FECHA","DATE","278 ocurrencias"
"venio","ENTIDAD","ALFA","CHAR(3)","1505 ocurrencias"
"verifica","ACCION","—","—","accion"
"visual","MODIF","?","?","no_evidence"
"web","MODIF","ALFA","CHAR(128)","52 ocurrencias"
"wu","ENTIDAD","ALFA","CHAR(8)","164 ocurrencias"
"x","MODIF","NUM","INTEGER","16939 ocurrencias"
"xml","ENTIDAD","ALFA","CHAR(4)","25 ocurrencias"
"zona","ENTIDAD","ALFA","CHAR(32)","582 ocurrencias"
